customer_id,age,occupation,dependents,monthly_income,monthly_expenses,monthly_debt_payment,monthly_savings,cash_savings,existing_investments,property_value,other_assets,total_assets,total_liabilities,net_worth,emergency_fund,insurance_coverage,credit_score,risk_tolerance,investment_experience,risk_score,financial_goal,goal_amount,current_goal_savings,goal_gap,time_horizon_years,preferred_investment,savings_rate,debt_to_income_ratio,risk_capacity_score,risk_willingness_score,target_risk_score,target_risk_category
C0001,23,Bank Employee,1,58700,18656,8144,31900,251665,1721270,0,398150,2371085,225931,2145154,117803,1649453,789,Conservative,Beginner,3.7,Wealth Creation,4520271,488813,4031458,15,Bonds,54.34,13.87,96.0,12.0,58.2,Moderate
C0002,49,Software Engineer,2,60764,36962,10297,13505,556987,1570160,0,289967,2417114,420244,1996870,267386,1812503,758,Conservative,Beginner,3.1,Child Education,4396927,1570160,2826767,12,FD,22.23,16.95,79.4,4.0,45.47,Moderately Conservative
C0003,55,Accountant,1,66749,30021,14643,22085,741412,1493414,0,354341,2589167,577838,2011329,138636,1890127,767,Conservative,Beginner,3.5,Retirement,3868278,1343652,2524626,6,FD,33.09,21.94,73.9,7.0,43.8,Moderately Conservative
C0004,59,Designer,4,83817,60105,9238,14474,673521,857181,4919327,26233,6476262,1960374,4515888,256240,4458867,798,Moderate,Intermediate,6.3,Wealth Creation,3835615,618156,3217459,11,Hybrid MF,17.27,11.02,67.1,60.0,63.91,Moderate
C0005,38,Designer,2,94683,50733,21285,22665,729173,580897,0,727872,2037942,105471,1932471,108122,3288235,818,Conservative,Beginner,2.9,Wealth Creation,4668847,729173,3939674,15,Bonds,23.94,22.48,80.05,12.0,49.43,Moderate
C0006,40,Bank Employee,4,71682,42187,6588,22907,174981,399762,6071327,288508,6934578,1021699,5912879,117896,997888,714,Moderate,Beginner,5.4,Child Education,4706895,399762,4307133,10,Gold,31.96,9.19,85.95,44.0,67.07,Moderate
C0007,43,Bank Employee,3,74318,32016,9291,33011,488797,1556926,0,156017,2201740,379294,1822446,43898,2545665,668,Aggressive,Intermediate,10.0,Wealth Creation,7615555,1447559,6167996,9,Equity,44.42,12.5,87.5,95.0,90.88,Aggressive
C0008,54,Government Employee,1,99252,38921,154,60177,1116150,1845599,0,205555,3167304,2410,3164894,71374,5849614,713,Moderate,Beginner,5.8,Wealth Creation,4937213,1845599,3091614,6,Gold,60.63,0.16,90.05,52.0,72.93,Moderately Aggressive
C0009,53,Government Employee,0,88356,31044,3960,53352,344055,1042030,5484827,600857,7471769,1427554,6044215,161862,5176296,850,Aggressive,Beginner,9.5,Retirement,9755481,1042030,8713451,10,Equity MF,60.38,4.48,90.0,82.0,86.4,Aggressive
C0010,30,Software Engineer,4,106029,66209,2406,37414,1257986,998171,0,679326,2935483,36389,2899094,72547,0,713,Aggressive,Beginner,9.6,Emergency Fund,892387,100112,792275,7,Equity MF,35.29,2.27,88.65,70.0,80.26,Moderately Aggressive
C0011,53,Teacher,2,46091,25486,2519,18086,513704,969583,4470887,156575,6110749,1659848,4450901,160093,2260331,686,Moderate,Beginner,5.5,Retirement,5242683,876643,4366040,12,Equity MF,39.24,5.47,87.8,47.0,69.44,Moderately Aggressive
C0012,53,Freelancer,4,65798,49791,7258,8749,745866,1389693,0,353925,2489484,98910,2390574,97153,2583389,740,Conservative,Intermediate,3.4,Buy House,5473937,810458,4663479,5,Bonds,13.3,11.03,71.2,12.0,44.56,Moderately Conservative
C0013,46,Software Engineer,3,138432,79310,5386,53736,543100,2463035,3126813,899284,7032232,401014,6631218,321784,6650174,734,Moderate,Beginner,5.7,Wealth Creation,5057517,471941,4585576,8,Gold,38.82,3.89,85.05,52.0,70.18,Moderately Aggressive
C0014,40,Sales Executive,2,51905,29669,5990,16246,568157,780625,0,134968,1483750,19843,1463907,93796,0,701,Moderate,Beginner,5.6,Retirement,3900925,780625,3120300,7,Hybrid MF,31.3,11.54,83.15,47.0,66.88,Moderate
C0015,35,Accountant,1,73783,34899,14154,24730,670357,568604,2579636,552247,4370844,1749044,2621800,173623,0,689,Conservative,Beginner,3.0,Child Education,3551957,298090,3253867,9,FD,33.52,19.18,80.7,4.0,46.19,Moderately Conservative
C0016,57,Government Employee,3,65809,42723,6636,16450,570811,323517,2900329,122358,3917015,1697725,2219290,306817,2677607,726,Aggressive,Beginner,9.5,Retirement,6267089,570811,5696278,7,Equity,25.0,10.08,69.6,82.0,75.18,Moderately Aggressive
C0017,53,Sales Executive,2,78243,53145,15403,9695,519465,1251798,536342,247926,2555531,343216,2212315,311700,2999361,776,Aggressive,Beginner,9.1,Higher Education,1878241,518405,1359836,10,Equity MF,12.39,19.69,74.0,79.0,76.25,Moderately Aggressive
C0018,37,Doctor,2,122207,57413,21826,42968,342800,1215396,3136317,722922,5417435,1284485,4132950,265609,6482393,686,Moderate,Advanced,6.7,Retirement,9874953,1215396,8659557,13,Equity MF,35.16,17.86,82.2,63.0,73.56,Moderately Aggressive
C0019,25,Business Owner,2,176465,94561,27523,54381,1044054,4145333,513652,689858,6392897,1532582,4860315,516137,0,719,Moderate,Intermediate,6.1,Wealth Creation,3167031,902528,2264503,15,Bonds,30.82,15.6,88.0,60.0,75.4,Moderately Aggressive
