customer_id,age,occupation,dependents,monthly_income,monthly_expenses,monthly_debt_payment,monthly_savings,cash_savings,existing_investments,property_value,other_assets,total_assets,total_liabilities,net_worth,emergency_fund,insurance_coverage,credit_score,risk_tolerance,investment_experience,financial_goal,goal_amount,current_goal_savings,goal_gap,time_horizon_years,preferred_investment,savings_rate,debt_to_income_ratio,risk_capacity_score,risk_willingness_score,target_risk_score,target_risk_category
C00001,33,Data Scientist,1,79989,31676,8585,39728,133066,1206240,4538044,49864,5927214,1145430,4781784,62606,9005644,770,Moderately Conservative,Intermediate,Retirement,14142652,844368,13298284,27,Gold,49.67,10.73,87.8,35.0,64.04,Moderate
C00002,56,Government Employee,0,50918,27842,4929,18147,116569,3178066,2341270,63019,5698924,314261,5384663,116569,7177184,708,Moderately Conservative,Intermediate,Higher Education,888147,145536,742611,5,ETF,35.64,9.68,80.75,32.0,58.81,Moderate
C00003,34,Business Owner,2,73423,27996,7610,37817,329947,1283384,0,218676,1832007,111605,1720402,98245,5936721,724,Moderately Conservative,Advanced,Buy House,12191315,898368,11292947,20,Bonds,51.51,10.36,94.65,40.0,70.06,Moderately Aggressive
C00004,58,Teacher,0,204399,100865,87272,16262,972028,1271569,16262636,339797,18846030,9534112,9311918,634325,20681840,710,Moderate,Beginner,Retirement,37432448,890098,36542350,2,Debt MF,7.96,42.7,41.85,47.0,44.17,Moderately Conservative
C00005,24,Teacher,0,103072,46681,5168,51223,264091,306770,0,137447,708308,152217,556091,264091,11182716,705,Moderate,Beginner,Wealth Creation,2634253,214739,2419514,5,ETF,49.7,5.01,87.4,52.0,71.47,Moderately Aggressive
C00006,28,Government Employee,1,59349,22639,12464,24246,145701,321936,0,99351,566988,360593,206395,145701,7821509,782,Moderate,Advanced,Child Education,2681550,225355,2456195,10,Stocks,40.85,21.0,79.75,60.0,70.86,Moderately Aggressive
C00007,31,Doctor,1,99581,51183,24746,23652,434921,837983,4421180,343283,6037367,3018920,3018447,144633,23832289,764,Moderate,Advanced,Buy House,8127519,586588,7540931,10,FD,23.75,24.85,65.3,60.0,62.91,Moderate
C00008,56,Accountant,2,197574,94604,35783,67187,1318163,7703248,11796530,405063,21223004,3720582,17502422,587414,37493457,733,Moderately Conservative,Beginner,Buy House,28199193,5392273,22806920,20,Gold,34.01,18.11,83.35,24.0,56.64,Moderate
C00009,35,Accountant,2,141854,51237,0,90617,391416,6960599,0,253884,7605899,0,7605899,391416,16956525,758,Conservative,Intermediate,Buy House,18862238,4872419,13989819,20,Equity MF,63.88,0.0,98.5,12.0,59.58,Moderate
C00010,31,Doctor,1,137026,62757,0,74269,786249,3896547,0,488646,5171442,0,5171442,220681,15462908,731,Moderately Aggressive,Advanced,Child Education,3230503,728577,2501926,5,Stocks,54.2,0.0,93.5,80.0,87.43,Aggressive
C00011,53,Freelancer,1,153973,77110,0,76863,656339,9157843,5768446,145975,15728603,0,15728603,521125,19221114,751,Conservative,Beginner,Retirement,34136819,6410490,27726329,7,PPF,49.92,0.0,90.2,7.0,52.76,Moderate
C00012,55,Doctor,0,145149,69299,14481,61369,494779,6498082,11601797,230275,18824933,1285543,17539390,114836,13486646,720,Moderate,Advanced,Buy House,22458206,4421122,18037084,20,FD,42.28,9.98,91.5,60.0,77.33,Moderately Aggressive
C00013,28,Accountant,1,102715,50489,16187,36039,485760,736875,0,206335,1428970,558952,870018,228308,21998283,702,Aggressive,Intermediate,Wealth Creation,3542720,515812,3026908,7,ETF,35.09,15.76,78.95,95.0,86.17,Aggressive
C00014,61,Sales Executive,0,123400,68793,8480,46127,152628,3504575,0,37044,3694247,199136,3495111,152628,7920916,763,Moderate,Advanced,Retirement,21542575,2453202,19089373,1,Hybrid MF,37.38,6.87,69.4,63.0,45.0,Moderately Conservative
C00015,22,Teacher,1,25000,11155,7103,6742,54248,39307,0,34932,128487,146154,-17667,40649,3904473,761,Moderately Conservative,Intermediate,Retirement,2702587,27514,2675073,38,Gold,26.97,28.41,66.0,35.0,52.05,Moderate
C00016,23,Business Owner,1,112831,65580,29756,17495,202935,107813,0,47595,358343,945736,-587393,202935,24798759,722,Moderately Aggressive,Intermediate,Wealth Creation,15166127,75469,15090658,15,Stocks,15.51,26.37,61.0,80.0,69.55,Moderately Aggressive
C00017,35,Doctor,2,67390,29520,12133,25737,308809,1126591,3831370,108765,5375535,1317938,4057597,147609,13031561,732,Moderate,Intermediate,Child Education,1652098,314027,1338071,7,FD,38.19,18.0,80.9,52.0,67.9,Moderate
C00018,37,Software Engineer,2,263410,143576,31163,88671,417119,5593955,13206247,332651,19549972,4475973,15073999,417119,50753345,763,Moderate,Advanced,Travel,6331374,692576,5638798,5,ETF,33.66,11.83,71.6,63.0,67.73,Moderate
C00019,45,Accountant,2,82519,32156,10162,40201,93715,3800580,5272618,70427,9237340,710626,8526714,93715,13144106,738,Moderate,Beginner,Retirement,14384278,1476487,12907791,15,Debt MF,48.72,12.31,84.0,47.0,67.35,Moderate
C00020,42,Accountant,4,125999,69986,40310,15703,606441,2741665,0,430444,3778550,842661,2935889,290708,10489252,716,Moderately Aggressive,Advanced,Buy House,5749872,516023,5233849,7,Equity MF,12.46,31.99,65.85,80.0,72.22,Moderately Aggressive
