date,year,equity_return,debt_return,gold_return,fd_return,equity_volatility,debt_volatility,gold_volatility,inflation_rate,interest_rate,stock_market_index,market_growth,gdp_growth,unemployment_rate,economic_condition
1984-01-01,1984,2.54,5.52,7.46,7.08,13.36,0.62,14.05,6.39,7.05,1000.0,1.79,7.99,6.57,Good
1984-02-01,1984,10.72,5.73,6.6,7.42,12.0,1.01,9.24,5.25,7.44,1008.93,5.7,7.42,4.8,Good
1984-03-01,1984,7.2,3.22,2.15,5.18,12.69,1.11,11.28,6.67,5.29,1014.99,-0.27,5.95,4.69,Normal
1984-04-01,1984,10.9,6.75,9.04,6.91,11.03,1.97,11.69,8.24,7.41,1024.21,1.72,4.7,5.91,Weak
1984-05-01,1984,-5.42,4.55,11.23,5.06,14.68,1.45,9.52,5.08,5.33,1019.58,-6.64,7.1,5.23,Good
1984-06-01,1984,16.2,5.16,3.2,5.52,9.47,0.78,7.34,5.08,5.46,1033.34,7.86,6.64,4.89,Good
1984-07-01,1984,-9.16,6.07,14.62,6.11,16.29,1.41,12.39,8.34,6.52,1025.45,5.11,7.0,6.76,Weak
1984-08-01,1984,2.84,5.18,11.42,5.01,15.73,0.68,11.07,6.88,5.79,1027.88,-0.08,6.79,6.85,Normal
1984-09-01,1984,11.03,5.71,5.09,5.54,10.56,1.6,11.91,4.65,5.74,1037.33,11.74,7.68,5.48,Good
1984-10-01,1984,17.87,4.84,8.64,5.49,10.45,1.06,9.79,6.48,5.68,1052.78,11.44,5.08,7.42,Normal
1984-11-01,1984,6.05,4.41,14.43,5.81,16.31,1.17,13.72,4.67,5.92,1058.09,-3.91,8.08,4.0,Good
1984-12-01,1984,-1.45,5.95,10.96,5.7,13.7,1.69,8.47,4.66,5.67,1056.81,1.08,6.4,5.14,Normal
1985-01-01,1985,2.01,4.78,8.89,5.97,13.26,0.75,15.26,5.94,5.96,1058.58,1.9,9.0,4.71,Good
1985-02-01,1985,9.93,3.07,5.39,3.98,12.44,0.87,5.64,2.06,4.07,1067.34,0.45,5.38,2.74,Normal
1985-03-01,1985,16.26,4.02,6.86,4.6,14.62,1.12,11.19,2.4,4.45,1081.81,14.67,8.98,4.94,Good
1985-04-01,1985,6.62,4.98,5.87,5.72,11.02,1.58,11.81,4.49,6.25,1087.77,5.15,6.42,5.2,Normal
1985-05-01,1985,6.91,4.99,-1.03,5.74,10.96,0.69,8.43,3.68,5.76,1094.04,4.38,5.24,7.04,Normal
1985-06-01,1985,7.25,4.96,17.11,5.42,13.65,0.4,12.08,6.07,5.42,1100.64,-8.89,5.21,6.34,Normal
1985-07-01,1985,10.24,5.32,8.13,5.05,12.31,1.08,13.67,3.87,5.51,1110.03,10.85,5.72,4.03,Normal
1985-08-01,1985,7.03,4.64,8.52,5.19,12.15,1.42,5.0,2.96,5.71,1116.54,-1.19,6.94,7.34,Good
1985-09-01,1985,25.05,4.22,10.06,5.25,10.63,1.65,12.79,8.14,5.59,1139.84,5.31,6.47,7.36,Weak
1985-10-01,1985,1.67,6.54,5.37,5.98,16.9,1.06,5.0,5.09,6.29,1141.42,7.5,5.19,6.14,Normal
1985-11-01,1985,2.92,5.23,7.91,5.55,15.93,1.1,8.49,5.62,5.51,1144.2,15.27,5.95,5.25,Normal
1985-12-01,1985,13.81,6.87,0.51,5.26,12.87,1.64,14.31,2.94,5.56,1157.37,-0.53,9.0,3.96,Good
1986-01-01,1986,-3.93,5.45,17.05,4.68,22.4,0.62,9.18,4.52,5.05,1153.58,-13.38,8.71,4.91,Good
1986-02-01,1986,9.39,4.86,3.77,4.32,11.82,1.17,7.99,5.7,4.63,1162.61,7.37,6.63,6.84,Good
1986-03-01,1986,13.36,2.45,3.1,4.1,18.38,1.43,9.86,3.43,3.97,1175.55,19.53,6.31,7.45,Normal
1986-04-01,1986,13.39,6.15,7.25,6.13,15.85,1.38,16.21,6.18,6.28,1188.67,14.25,6.1,7.45,Normal
1986-05-01,1986,23.74,5.26,13.02,5.63,15.51,1.04,6.03,4.42,5.83,1212.18,8.36,7.05,4.75,Good
1986-06-01,1986,14.05,4.06,8.29,4.92,9.94,1.28,8.12,4.97,5.09,1226.37,1.81,4.53,4.08,Normal
1986-07-01,1986,20.29,5.74,2.93,6.3,14.25,0.4,14.35,4.42,6.13,1247.11,11.82,5.74,5.51,Normal
1986-08-01,1986,-5.91,5.53,15.76,5.5,13.59,0.98,16.35,8.83,5.84,1240.97,-4.09,3.1,3.88,Weak
1986-09-01,1986,4.79,5.68,11.48,6.12,13.14,1.36,10.61,5.48,5.94,1245.93,9.5,6.6,5.88,Good
1986-10-01,1986,-5.71,3.23,9.49,4.27,10.95,0.99,7.3,3.6,4.36,1240.0,10.88,7.2,5.04,Good
1986-11-01,1986,8.0,5.75,12.4,5.81,12.61,1.22,16.48,6.98,6.0,1248.27,12.08,5.1,5.16,Normal
1986-12-01,1986,30.33,4.36,16.72,5.74,21.38,1.41,14.31,3.3,5.27,1279.82,27.58,8.62,3.26,Good
1987-01-01,1987,14.82,4.91,17.56,5.03,12.8,1.12,12.67,5.88,5.44,1295.62,7.37,4.12,6.17,Weak
